load_id,vin,model_id,model_name,brand,series,weight_kg,length_m,width_m,height_m,destination_dealer_id,weight_lb
233376,4T1BLA3760004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_LA_01,3318
233376,4T1BLA3760005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_LA_02,3393
233376,4T1BLA3760006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_LA_01,7716
233376,4T1BLA3760007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_LA_02,5483
227494,4T1BLA4940000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
227494,4T1BLA4940001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_02,5185
227494,4T1BLA4940002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
227494,4T1BLA4940003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_LA_02,10214
227494,4T1BLA4940004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_LA_01,3318
227494,4T1BLA4940005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_LA_02,3393
227494,4T1BLA4940006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_LA_01,7716
227494,4T1BLA4940007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_LA_02,5483
188099,4T1BLA0990000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
188099,4T1BLA0990001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_02,5185
188099,4T1BLA0990002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
188099,4T1BLA0990003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_LA_02,10214
188099,4T1BLA0990004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_LA_01,3318
188099,4T1BLA0990005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_LA_02,3393
188099,4T1BLA0990006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_LA_01,7716
188099,4T1BLA0990007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_LA_02,5483
243600,4T1BLA6000000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
243600,4T1BLA6000001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_02,5185
243600,4T1BLA6000002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
243600,4T1BLA6000003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_LA_02,10214
243600,4T1BLA6000004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_LA_01,3318
243600,4T1BLA6000005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_LA_02,3393
243600,4T1BLA6000006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_LA_01,7716
243600,4T1BLA6000007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_LA_02,5483
227478,4T1BLA4780000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
227478,4T1BLA4780001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_05,5185
227478,4T1BLA4780002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
227478,4T1BLA4780003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_LA_05,10214
227478,4T1BLA4780004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_LA_01,3318
227478,4T1BLA4780005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_LA_05,3393
227478,4T1BLA4780006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_LA_01,7716
227478,4T1BLA4780007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_LA_05,5483
245726,4T1BSF7260000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_SF_01,4491
245726,4T1BSF7260001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_SF_02,5185
245726,4T1BSF7260002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_SF_01,3016
245726,4T1BSF7260003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_SF_02,10214
245726,4T1BSF7260004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_SF_01,3318
245726,4T1BSF7260005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_SF_02,3393
245726,4T1BSF7260006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_SF_01,7716
245726,4T1BSF7260007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_SF_02,5483
245356,4T1BPT3560000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245356,4T1BPT3560001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_05,5185
245356,4T1BPT3560002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245356,4T1BPT3560003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_05,10214
245356,4T1BPT3560004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245356,4T1BPT3560005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_05,3393
245356,4T1BPT3560006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245356,4T1BPT3560007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_05,5483
245357,4T1BPT3570000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245357,4T1BPT3570001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245357,4T1BPT3570002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245357,4T1BPT3570003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245357,4T1BPT3570004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245357,4T1BPT3570005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245357,4T1BPT3570006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245357,4T1BPT3570007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245358,4T1BPT3580000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245358,4T1BPT3580001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245358,4T1BPT3580002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245358,4T1BPT3580003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245358,4T1BPT3580004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245358,4T1BPT3580005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245358,4T1BPT3580006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245358,4T1BPT3580007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245359,4T1BPT3590000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245359,4T1BPT3590001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245359,4T1BPT3590002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245359,4T1BPT3590003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245359,4T1BPT3590004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245359,4T1BPT3590005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245359,4T1BPT3590006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245359,4T1BPT3590007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245360,4T1BPT3600000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245360,4T1BPT3600001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245360,4T1BPT3600002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245360,4T1BPT3600003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245360,4T1BPT3600004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245360,4T1BPT3600005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245360,4T1BPT3600006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245360,4T1BPT3600007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
230299,4T1B040162990000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_OM_01,4491
230299,4T1B040162990001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_OM_02,5185
230299,4T1B040162990002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_OM_01,3016
230299,4T1B040162990003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_OM_02,10214
230299,4T1B040162990004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_OM_01,3318
230299,4T1B040162990005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_OM_02,3393
230299,4T1B040162990006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_OM_01,7716
230299,4T1B040162990007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_OM_02,5483
245350,4T1BPT3500000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245350,4T1BPT3500001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245350,4T1BPT3500002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245350,4T1BPT3500003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245350,4T1BPT3500004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245350,4T1BPT3500005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245350,4T1BPT3500006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245350,4T1BPT3500007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245351,4T1BPT3510000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245351,4T1BPT3510001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245351,4T1BPT3510002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245351,4T1BPT3510003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245351,4T1BPT3510004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245351,4T1BPT3510005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245351,4T1BPT3510006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245351,4T1BPT3510007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245352,4T1BPT3520000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245352,4T1BPT3520001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245352,4T1BPT3520002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245352,4T1BPT3520003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245352,4T1BPT3520004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245352,4T1BPT3520005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245352,4T1BPT3520006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245352,4T1BPT3520007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245353,4T1BPT3530000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245353,4T1BPT3530001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245353,4T1BPT3530002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245353,4T1BPT3530003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245353,4T1BPT3530004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245353,4T1BPT3530005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245353,4T1BPT3530006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245353,4T1BPT3530007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245354,4T1BPT3540000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245354,4T1BPT3540001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245354,4T1BPT3540002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245354,4T1BPT3540003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245354,4T1BPT3540004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245354,4T1BPT3540005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245354,4T1BPT3540006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245354,4T1BPT3540007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
245355,4T1BPT3550000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_PT_01,4491
245355,4T1BPT3550001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_PT_02,5185
245355,4T1BPT3550002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_PT_01,3016
245355,4T1BPT3550003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_PT_02,10214
245355,4T1BPT3550004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_PT_01,3318
245355,4T1BPT3550005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_PT_02,3393
245355,4T1BPT3550006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_PT_01,7716
245355,4T1BPT3550007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_PT_02,5483
188377,4T1BML3770000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_ML_01,4491
188377,4T1BML3770001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_ML_02,5185
188377,4T1BML3770002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_ML_01,3016
188377,4T1BML3770003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_ML_02,10214
188377,4T1BML3770004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_ML_01,3318
188377,4T1BML3770005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_ML_02,3393
188377,4T1BML3770006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_ML_01,7716
188377,4T1BML3770007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_ML_02,5483
188384,4T1BML3840000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_ML_01,4491
188384,4T1BML3840001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_ML_02,5185
188384,4T1BML3840002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_ML_01,3016
188384,4T1BML3840003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_ML_02,10214
188384,4T1BML3840004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_ML_01,3318
188384,4T1BML3840005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_ML_02,3393
188384,4T1BML3840006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_ML_01,7716
188384,4T1BML3840007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_ML_02,5483
228409,4T1BLA4090000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
228409,4T1BLA4090001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_02,5185
228409,4T1BLA4090002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
228409,4T1BLA4090003,12,TX FSPORT TX 350,Lexus,TX,4633,5.16,1.99,1.78,D_LA_02,10214
228409,4T1BLA4090004,11,GR SUPRA SUPRA,Toyota,SUPRA,1505,6.0,2.0,7.0,D_LA_01,3318
228409,4T1BLA4090005,1,COROLLA COROLLA,Toyota,COROLLA,1539,5.0,1.825,1.61,D_LA_02,3393
228409,4T1BLA4090006,2344,DUMMY M NULL,Toyota,DUMMY,3500,4.5,1.8,1.5,D_LA_01,7716
228409,4T1BLA4090007,7,TUNDRA 4 TUNDRA 4,Toyota,TUNDRA,2487,5.2,2.031,2.041,D_LA_02,5483
228698,4T1BLA6980000,8,bZ4X AWD BZ,Toyota,bZ4X,2037,4.69,1.86,1.6,D_LA_01,4491
228698,4T1BLA6980001,9,TACOMA 4 TACOMA,Toyota,TACOMA,2352,2.0,2.0,1.0,D_LA_02,5185
228698,4T1BLA6980002,10,COROLLA COROLLA,Toyota,COROLLA,1368,4.63,1.78,1.455,D_LA_01,3016
